Institutions,count,mean,std,min,25%,50%,75%,max
UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,58.0,91.08103448275861,6.212479147384304,71.9,85.8,91.9,95.875,100.0
UNIVERSITI KEBANGSAAN MALAYSIA,77.0,93.82597402597405,7.187441580493068,73.7,90.5,96.8,100.0,100.0
UNIVERSITI MALAYA,97.0,90.28762886597937,8.625776024653748,60.0,85.5,91.7,96.6,100.0
UNIVERSITI MALAYSIA KELANTAN,25.0,95.37199999999999,5.21452458683116,85.2,90.9,97.8,100.0,100.0
UNIVERSITI MALAYSIA PAHANG,41.0,98.59756097560975,2.235339773376527,88.0,97.9,99.3,100.0,100.0
UNIVERSITI MALAYSIA PERLIS,48.0,97.66249999999998,5.059039728913325,80.0,98.5,100.0,100.0,100.0
UNIVERSITI MALAYSIA SABAH,66.0,98.48030303030305,2.5234420751742865,89.1,98.025,100.0,100.0,100.0
UNIVERSITI MALAYSIA SARAWAK,48.0,90.51666666666667,9.252218442043551,50.0,84.6,92.95,97.8,100.0
UNIVERSITI MALAYSIA TERENGGANU,23.0,86.55652173913043,15.325078261314525,40.0,78.65,89.6,97.35,100.0
UNIVERSITI PENDIDIKAN SULTAN IDRIS,49.0,96.24897959183673,5.588348088097367,77.3,95.3,98.8,100.0,100.0
UNIVERSITI PERTAHANAN NASIONAL MALAYSIA,16.0,97.71875,3.77804512942871,86.2,96.94999999999999,100.0,100.0,100.0
UNIVERSITI PUTRA MALAYSIA,94.0,99.71063829787234,0.975227360875003,93.3,100.0,100.0,100.0,100.0
UNIVERSITI SAINS ISLAM MALAYSIA,28.0,97.09642857142856,2.751764705549694,92.1,95.07499999999999,96.8,100.0,100.0
UNIVERSITI SAINS MALAYSIA,73.0,91.86849315068494,8.650897138966583,59.3,87.2,94.0,100.0,100.0
UNIVERSITI SULTAN ZAINAL ABIDIN,31.0,92.69677419354836,5.2050285859585035,81.1,87.9,93.8,97.2,100.0
UNIVERSITI TEKNIKAL MALAYSIA MELAKA,29.0,95.72068965517241,3.17336901982114,88.5,93.5,96.0,98.1,100.0
UNIVERSITI TEKNOLOGI MALAYSIA,62.0,98.87741935483872,2.2355121432392333,89.7,98.825,100.0,100.0,100.0
UNIVERSITI TEKNOLOGI MARA,158.0,86.31898734177216,8.084444069363506,63.6,82.625,86.85,91.475,100.0
UNIVERSITI TUN HUSSEIN ONN MALAYSIA,41.0,94.0390243902439,3.639840521834747,82.5,92.4,94.6,96.2,100.0
UNIVERSITI UTARA MALAYSIA,41.0,93.97073170731707,3.35151039849491,87.0,91.6,93.8,95.5,100.0
